injury,date_summary
2,"2000-03-10
Shots fired during fight at school dance"
2,"2001-03-05
Bullying, planned attack, planned suicide by cop"
2,"2003-09-24
Targeted two bullies, other students in area were not shot at"
8,"2005-03-21
Planned attack on school, studied Columbine, wore trench coat, had been bullied"
2,"2005-07-18
Police tried to break up fight between female students, brother fired at officers killing one"
5,"2006-10-02
Shot girls in Amish school due to 20 year grudge"
3,"2007-08-04
Shot 4 friends at school, MS-13 directed shooting"
3,"2012-02-27
Planned attack, fired at random victims then walked out of school to surrender to police"
26,"2012-12-14
Shooter though society was broken and mass shooting helps save children from negative influence"
2,"2013-06-19
School maintenance worker killed co-workers"
2,"2014-08-14
Dispute - ongoing feud - possible gang violence"
4,"2014-10-24
Shooting in cafeteria after break-up with girlfriend"
2,"2017-12-07
Planned mass shooting attack by former student"
2,"2017-12-31
Drive-by in parking lot outside of school during basketball game"
2,"2018-01-23
Planned attack. Shooting was science experiment to see how people reacted; belief human life has no purpose. "
17,"2018-02-14
Planned attack by former student"
10,"2018-05-18
Planned attack after bullying, 30 minute standoff with police before surrendering"
2,"2019-06-29
Two men shot and killed during fight between two groups on school track"
2,"2019-11-14
Student fired at multiple students in school courtyard then commit suicide"
2,"2019-11-24
2 boys sitting inside van were shot and killed in school parking lot"
3,"2020-05-05
Three victims found dead in school parking lot"
2,"2020-10-29
Two men fatally shot in school parking lot"
2,"2021-02-14
Two adults found fatally shot inside car in front of the school"
4,"2021-11-30
11 students shot during planned attack at school"
2,"2022-01-17
Man and woman fatally shot during robbery"
20,"2022-05-24
Indiscriminate attack at school"
